"","GEO.Region","Operating.Airline"
"600","US","AirTran Airways"
"601","US","Alaska Airlines"
"602","US","Alaska Airlines"
"603","US","Alaska Airlines"
"604","Canada","Alaska Airlines"
"605","Canada","Alaska Airlines"
"606","Canada","Alaska Airlines"
"607","Mexico","Alaska Airlines"
"608","Mexico","Alaska Airlines"
"609","Asia","All Nippon Airways"
"610","Asia","All Nippon Airways"
"611","US","American Airlines"
"612","US","American Airlines"
"613","US","American Eagle Airlines"
"614","US","American Eagle Airlines"
"615","Asia","Asiana Airlines"
"616","Asia","Asiana Airlines"
"617","Europe","British Airways"
"618","Europe","British Airways"
"619","Asia","Cathay Pacific"
"620","Asia","Cathay Pacific"
"621","Asia","China Airlines"
"622","Asia","China Airlines"
"623","US","Delta Air Lines"
"624","US","Delta Air Lines"
"625","US","Delta Air Lines"
"626","US","Delta Air Lines"
"627","Asia","EVA Airways"
"628","Asia","EVA Airways"
"629","US","Frontier Airlines"
"630","US","Frontier Airlines"
"631","US","Hawaiian Airlines"
"632","US","Hawaiian Airlines"
"633","US","Horizon Air "
"634","US","Horizon Air "
"635","Asia","Japan Airlines"
"636","Asia","Japan Airlines"
"637","Europe","KLM Royal Dutch Airlines"
"638","Europe","KLM Royal Dutch Airlines"
"639","Asia","Korean Air Lines"
"640","US","Mesa Airlines"
"641","Asia","Korean Air Lines"
"642","Europe","Lufthansa German Airlines"
"643","Europe","Lufthansa German Airlines"
"644","US","Mesa Airlines"
"645","US","Mesa Airlines"
"646","Mexico","Mexicana Airlines"
"647","Mexico","Mexicana Airlines"
"648","US","Midwest Airlines"
"649","US","Midwest Airlines"
"650","US","Northwest Airlines"
"651","US","Northwest Airlines"
"652","Asia","Northwest Airlines"
"653","Asia","Northwest Airlines"
"654","Asia","Philippine Airlines"
"655","Asia","Philippine Airlines"
"656","Asia","Singapore Airlines"
"657","Asia","Singapore Airlines"
"658","US","SkyWest Airlines"
"659","US","SkyWest Airlines"
"660","US","SkyWest Airlines"
"661","US","SkyWest Airlines"
"662","Canada","SkyWest Airlines"
"663","Canada","SkyWest Airlines"
"664","US","Sun Country Airlines"
"665","US","Sun Country Airlines"
"666","Central America","TACA"
"667","Central America","TACA"
"668","US","US Airways"
"669","US","US Airways"
"670","US","US Airways"
"671","US","US Airways"
"672","US","United Airlines"
"673","US","United Airlines"
"674","US","United Airlines - Pre 07/01/2013"
"675","US","United Airlines - Pre 07/01/2013"
"676","US","United Airlines - Pre 07/01/2013"
"677","US","United Airlines - Pre 07/01/2013"
"678","US","United Airlines - Pre 07/01/2013"
"679","Asia","United Airlines - Pre 07/01/2013"
"680","Asia","United Airlines - Pre 07/01/2013"
"681","Asia","United Airlines - Pre 07/01/2013"
"682","Australia / Oceania","United Airlines - Pre 07/01/2013"
"683","Australia / Oceania","United Airlines - Pre 07/01/2013"
"684","Australia / Oceania","United Airlines - Pre 07/01/2013"
"685","Canada","United Airlines - Pre 07/01/2013"
"686","Canada","United Airlines - Pre 07/01/2013"
"687","Canada","United Airlines - Pre 07/01/2013"
"688","Europe","United Airlines - Pre 07/01/2013"
"689","Europe","United Airlines - Pre 07/01/2013"
"690","Europe","United Airlines - Pre 07/01/2013"
"691","Mexico","United Airlines - Pre 07/01/2013"
"692","Mexico","United Airlines - Pre 07/01/2013"
"693","Mexico","United Airlines - Pre 07/01/2013"
"694","Europe","Virgin Atlantic"
"695","Europe","Virgin Atlantic"
"696","Canada","WestJet Airlines"
"697","Canada","WestJet Airlines"
"698","US","ATA Airlines"
"699","US","ATA Airlines"
"700","US","ATA Airlines"
"701","Canada","Air Canada "
"702","Canada","Air Canada "
"703","Canada","Air Canada Jazz"
"704","Canada","Air Canada Jazz"
"705","Asia","Air China"
"706","Asia","Air China"
"707","Europe","Air France"
"708","Europe","Air France"
"709","Australia / Oceania","Air New Zealand"
"710","Australia / Oceania","Air New Zealand"
"711","US","AirTran Airways"
"712","US","AirTran Airways"
"713","US","Alaska Airlines"
"714","US","Alaska Airlines"
"715","US","Alaska Airlines"
"716","Canada","Alaska Airlines"
"717","Canada","Alaska Airlines"
"718","Canada","Alaska Airlines"
"719","Mexico","Alaska Airlines"
"720","Mexico","Alaska Airlines"
"721","Mexico","Alaska Airlines"
"722","Asia","All Nippon Airways"
"723","Asia","All Nippon Airways"
"724","US","American Airlines"
"725","US","American Airlines"
"726","US","American Eagle Airlines"
"727","US","American Eagle Airlines"
"728","Asia","Asiana Airlines"
"729","Asia","Asiana Airlines"
"730","Europe","British Airways"
"731","Europe","British Airways"
"732","Asia","Cathay Pacific"
"733","Asia","Cathay Pacific"
"734","Asia","China Airlines"
"735","Asia","China Airlines"
"736","US","Delta Air Lines"
"737","US","Delta Air Lines"
"738","US","Delta Air Lines"
"739","US","Delta Air Lines"
"740","Asia","EVA Airways"
"741","Asia","EVA Airways"
"742","US","Frontier Airlines"
"743","US","Frontier Airlines"
"744","US","Hawaiian Airlines"
"745","US","Hawaiian Airlines"
"746","US","Horizon Air "
"747","US","Horizon Air "
"748","Asia","Japan Airlines"
"749","Asia","Japan Airlines"
"750","Europe","KLM Royal Dutch Airlines"
"751","Europe","KLM Royal Dutch Airlines"
"752","Asia","Korean Air Lines"
"753","Asia","Korean Air Lines"
"754","Europe","Lufthansa German Airlines"
"755","Europe","Lufthansa German Airlines"
"756","US","Mesa Airlines"
"757","US","Mesa Airlines"
"758","Mexico","Mexicana Airlines"
"759","Mexico","Mexicana Airlines"
"760","US","Midwest Airlines"
"761","US","Midwest Airlines"
"762","US","Northwest Airlines"
"763","US","Northwest Airlines"
"764","Asia","Northwest Airlines"
"765","Asia","Northwest Airlines"
"766","Asia","Philippine Airlines"
"767","Asia","Philippine Airlines"
"768","Asia","Singapore Airlines"
"769","Asia","Singapore Airlines"
"770","US","SkyWest Airlines"
"771","US","SkyWest Airlines"
"772","US","SkyWest Airlines"
"773","US","SkyWest Airlines"
"774","Canada","SkyWest Airlines"
"775","Canada","SkyWest Airlines"
"776","US","Sun Country Airlines"
"777","US","Sun Country Airlines"
"778","Central America","TACA"
"779","Central America","TACA"
"780","US","US Airways"
"781","US","US Airways"
"782","US","US Airways"
"783","US","US Airways"
"784","US","United Airlines"
"785","US","United Airlines"
"786","US","United Airlines - Pre 07/01/2013"
"787","US","United Airlines - Pre 07/01/2013"
"788","US","United Airlines - Pre 07/01/2013"
"789","US","United Airlines - Pre 07/01/2013"
"790","US","United Airlines - Pre 07/01/2013"
"791","US","United Airlines - Pre 07/01/2013"
"792","US","United Airlines - Pre 07/01/2013"
"793","US","United Airlines - Pre 07/01/2013"
"794","Asia","United Airlines - Pre 07/01/2013"
"795","Asia","United Airlines - Pre 07/01/2013"
"796","Asia","United Airlines - Pre 07/01/2013"
"797","Australia / Oceania","United Airlines - Pre 07/01/2013"
"798","Australia / Oceania","United Airlines - Pre 07/01/2013"
"799","Australia / Oceania","United Airlines - Pre 07/01/2013"
"800","Canada","United Airlines - Pre 07/01/2013"
"801","Canada","United Airlines - Pre 07/01/2013"
"802","Canada","United Airlines - Pre 07/01/2013"
"803","Europe","United Airlines - Pre 07/01/2013"
