"","GEO.Summary","Operating.Airline"
"5480","International","United Airlines - Pre 07/01/2013"
"5481","International","United Airlines - Pre 07/01/2013"
"5482","International","United Airlines - Pre 07/01/2013"
"5483","International","United Airlines - Pre 07/01/2013"
"5484","Domestic","Virgin America"
"5485","Domestic","Virgin America"
"5486","International","Virgin Atlantic"
"5487","International","Virgin Atlantic"
"5488","International","Aer Lingus"
"5489","International","Aer Lingus"
"5490","International","Aeromexico"
"5491","International","Aeromexico"
"5492","International","Air Canada "
"5493","International","Air Canada "
"5494","International","Air China"
"5495","International","Air China"
"5496","International","Air France"
"5497","International","Air France"
"5498","International","Air New Zealand"
"5499","International","Air New Zealand"
"5500","Domestic","AirTran Airways"
"5501","Domestic","AirTran Airways"
"5502","Domestic","Alaska Airlines"
"5503","Domestic","Alaska Airlines"
"5504","International","Alaska Airlines"
"5505","International","Alaska Airlines"
"5506","International","All Nippon Airways"
"5507","International","All Nippon Airways"
"5508","Domestic","American Airlines"
"5509","Domestic","American Airlines"
"5510","Domestic","American Eagle Airlines"
"5511","Domestic","American Eagle Airlines"
"5512","International","Asiana Airlines"
"5513","International","Asiana Airlines"
"5514","International","British Airways"
"5515","International","British Airways"
"5516","International","Cathay Pacific"
"5517","International","Cathay Pacific"
"5518","International","China Airlines"
"5519","International","China Airlines"
"5520","Domestic","Delta Air Lines"
"5521","Domestic","Delta Air Lines"
"5522","International","EVA Airways"
"5523","International","EVA Airways"
"5524","International","Emirates "
"5525","International","Emirates "
"5526","Domestic","Frontier Airlines"
"5527","Domestic","Frontier Airlines"
"5528","Domestic","Hawaiian Airlines"
"5529","Domestic","Hawaiian Airlines"
"5530","Domestic","Horizon Air "
"5531","Domestic","Horizon Air "
"5532","International","Japan Airlines"
"5533","International","Japan Airlines"
"5534","Domestic","JetBlue Airways "
"5535","Domestic","JetBlue Airways "
"5536","International","KLM Royal Dutch Airlines"
"5537","International","KLM Royal Dutch Airlines"
"5538","International","Korean Air Lines"
"5539","International","Korean Air Lines"
"5540","International","Lufthansa German Airlines"
"5541","International","Lufthansa German Airlines"
"5542","Domestic","Mesaba Airlines"
"5543","Domestic","Mesaba Airlines"
"5544","International","Mexicana Airlines"
"5545","International","Mexicana Airlines"
"5546","Domestic","Midwest Airlines"
"5547","Domestic","Midwest Airlines"
"5548","Domestic","Northwest Airlines"
